"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belize","BLZ","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2001","2073","2149","2221","2297","2368","2444","2521","2593","2660","2728","2822","2908","2989","3077","3172","3236","3298","3351","3380","3397","3456","3500","3547","3588","3629","3699","3781","3870","3969","4075","4204","4337","4496","4675","4868","4864","4873","4903","4940","4989","5019","5031","5027","5011","4984","5157","5333","5528","5748","6003","6123","6251","6389","6553","6753","6995","7274","",
"Bermuda","BMU","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","91934","92535","92724","92647","92515","92414","93209","93949","94671","95361","96032","97595","99044","100427","101783","103143","106177","109194","112130","114886","117401","121310","125139","128992","132961","137110","141971","146989","152294","158022","164253","170058","176154","182459","188811","195139","201349","207531","213703","219867","226055","232753","239479","246491","254132","262610","271907","281946","292505","303232","313999","324201","334225","344572","355947","368804","381209","394629","",
"Brazil","BRA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1288469","1346537","1407089","1468352","1527803","1584223","1637085","1688195","1738964","1791301","1846663","1909875","1973930","2039503","2107247","2177450","2253104","2329289","2405788","2481741","2556923","2633247","2709054","2785600","2864781","2948381","3042158","3138842","3240235","3348744","3465997","3611239","3761847","3915422","4067761","4216811","4391297","4561680","4734304","4918218","5118910","5340878","5581405","5833308","6085531","6333091","6576965","6815390","7057739","7317131","7601839","7917833","8252497","8608510","8988531","9395132","9804603","10239664","",
"Barbados","BRB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","11168","11337","11426","11466","11519","11626","11780","11997","12245","12481","12695","12844","13064","13405","13851","14309","14639","14938","15247","15583","15943","16108","16161","16145","16097","16033","16020","16003","15997","16006","16046","16235","16451","16683","16904","17111","17363","17614","17874","18160","18470","18581","18689","18782","18878","18979","19178","19404","19677","20010","20414","20838","21331","21878","22490","23153","23783","24451","",
"Brunei Darussalam","BRN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1704","1768","1831","1892","1946","2013","2062","2126","2203","2299","2404","2498","2593","2688","2784","2882","2900","2884","2844","2762","2638","2694","2742","2790","2833","2891","2962","3039","3124","3197","3263","3354","3434","3522","3638","3799","3828","3883","3946","3997","4027","4354","4659","4945","5232","5546","5894","6194","6440","6633","6804","7103","7468","7903","8415","9010","9645","10368","",
"Bhutan","BTN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2720","2799","2876","2950","3018","3079","3187","3295","3393","3488","3573","3704","3825","3940","4048","4152","4305","4458","4603","4749","4885","5080","5264","5447","5642","5842","6129","6421","6699","6937","7112","7291","7380","7416","7442","7504","7785","8144","8550","8972","9370","9798","10209","10612","11011","11416","11894","12371","12847","13326","13822","14339","14879","15429","15989","16553","17162","17763","",
"Botswana","BWA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","13337","13442","13437","13375","13343","13365","13531","13734","13946","14104","14185","14337","14434","14491","14521","14534","14650","14759","14871","15015","15216","15592","15999","16455","16992","17633","18439","19349","20314","21239","22098","23009","23819","24589","25421","26347","27358","28420","29514","30606","31684","32863","34013","35135","36232","37305","38442","39584","40723","41832","42900","43965","44986","46091","47465","49228","51310","53746","",
"Central African Republic","CAF","Population ages 65 and above, female","SP.POP.65UP.FE.IN","35787","36360","36923","37449","37886","38212","39062","39816","40478","41058","41559","42631","43619","44542","45425","46283","47483","48673","49867","51035","52197","53528","54831","56098","57314","58475","59958","61319","62618","63942","65356","66944","68594","70251","71833","73296","75106","76691","78072","79297","80389","81964","83321","84465","85417","86182","87769","89180","90295","90948","91047","92157","92713","92948","93161","93563","94507","95764","",
"Canada","CAN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","708436","726973","745682","765763","787527","810464","833346","858410","884583","910714","939082","966706","995232","1026421","1062388","1104206","1143897","1186018","1228979","1272678","1320206","1363782","1406393","1447378","1491469","1540044","1583868","1636413","1691633","1756480","1816396","1866006","1911042","1952379","1991289","2028648","2066222","2104573","2139831","2174347","2210120","2244793","2276124","2310976","2349936","2394357","2433299","2480186","2535886","2602214","2678995","2754482","2846616","2947470","3052241","3152830","3264845","3378229","",
