"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belarus","BLR","Population ages 0-14, female","SP.POP.0014.FE.IN","1152411","1188306","1216131","1237324","1255175","1270675","1274416","1276772","1275694","1269192","1257102","1233832","1212967","1193627","1174224","1153400","1138057","1118603","1098856","1083281","1075601","1075141","1082307","1094585","1106796","1116106","1131387","1143051","1146591","1147621","1145190","1140495","1133908","1123595","1106010","1083076","1046709","1011634","976194","939334","900033","864530","827363","790918","758850","732591","713782","699413","689823","685074","684643","690191","699710","712904","728058","743666","759187","772888","",
"Belize","BLZ","Population ages 0-14, female","SP.POP.0014.FE.IN","20703","21576","22381","23178","23983","24801","25597","26422","27232","27953","28549","29310","29985","30560","31050","31459","31868","32171","32420","32761","33296","33626","34245","35042","35863","36589","37523","38328","39036","39687","40293","40871","41436","42023","42707","43607","44566","45710","47035","48472","49880","51020","52059","52989","53841","54648","55187","55676","56113","56507","56847","56991","57190","57383","57513","57578","57897","58097","",
"Bermuda","BMU","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 0-14, female","SP.POP.0014.FE.IN","777532","795663","815458","835862","854842","871432","890807","907572","922702","937749","953556","973337","993112","1013204","1033683","1054531","1078424","1102592","1126906","1150992","1174510","1200508","1225277","1249055","1272080","1294307","1317262","1339091","1359975","1380071","1399473","1419053","1437846","1455939","1473460","1490491","1508967","1526562","1543407","1559547","1574859","1591313","1606208","1619886","1632681","1644660","1655903","1666409","1675945","1684064","1690533","1696624","1700779","1703526","1705789","1708158","1711618","1715606","",
"Brazil","BRA","Population ages 0-14, female","SP.POP.0014.FE.IN","15470978","15986577","16513443","17036823","17535126","17995211","18487739","18916566","19299237","19661775","20016051","20353016","20686220","21009798","21313735","21597609","21896692","22189691","22479073","22771513","23072471","23449699","23816082","24174243","24520034","24843667","25177729","25462928","25705432","25912411","26085715","26179294","26263310","26322702","26341422","26318280","26290517","26231178","26143951","26035773","25908953","25824112","25687762","25519386","25340607","25158794","24932376","24720055","24508027","24276579","24021264","23758934","23497335","23233321","22966713","22698938","22499749","22273104","",
"Barbados","BRB","Population ages 0-14, female","SP.POP.0014.FE.IN","45223","45691","46014","46229","46376","46456","46195","45778","45256","44706","44141","42854","41629","40400","39130","37904","37516","37180","36998","37048","37261","36338","35731","35244","34667","33946","33447","32740","31958","31308","30876","30403","30157","30055","29973","29846","29729","29573","29402","29272","29193","28821","28555","28366","28183","27983","27821","27633","27453","27322","27259","27074","26983","26949","26929","26900","26774","26652","",
"Brunei Darussalam","BRN","Population ages 0-14, female","SP.POP.0014.FE.IN","17265","18355","19576","20856","22072","23189","24077","24840","25529","26253","27075","27998","29051","30146","31153","31983","33242","34243","35108","35984","36927","37811","38767","39764","40754","41693","41894","42117","42449","42942","43601","44505","45373","46225","47038","47783","48549","49159","49598","49821","49791","50114","50110","49975","49785","49527","49484","49289","49053","48896","48852","48452","48303","48283","48239","48091","48202","48079","",
"Bhutan","BTN","Population ages 0-14, female","SP.POP.0014.FE.IN","46298","47680","48863","49994","51295","52871","54783","56904","59170","61432","63598","66196","68656","71024","73385","75786","78539","81264","83938","86517","88962","91716","94190","96565","99113","102006","105508","109415","113120","115704","116533","117167","116219","114486","113217","113302","113010","113778","115169","116432","117059","117067","116477","115429","114256","113187","112351","111651","111034","110368","109574","109086","108369","107545","106819","106281","105731","105475","",
"Botswana","BWA","Population ages 0-14, female","SP.POP.0014.FE.IN","119790","124273","129412","134880","140148","144956","149703","154076","158241","162493","167025","171921","176978","182346","188189","194616","201467","208844","216632","224606","232596","241495","250272","258844","267045","274717","282179","288663","294363","299617","304585","308618","312678","316352","319050","320502","322910","323995","324043","323567","322872","323231","323287","323263","323338","323695","323830","324547","325825","327620","329958","332765","336165","340037","344125","348194","352761","356702","",
"Central African Republic","CAF","Population ages 0-14, female","SP.POP.0014.FE.IN","289081","297052","304959","312864","320727","328514","338286","347681","356697","365256","373321","383908","393738","403171","412667","422553","433938","445315","457032","469495","482935","498194","514188","530385","545844","559873","577259","592892","607497","622225","637860","654053","670469","686832","702584","717287","734974","751655","767287","781840","795365","813577","830124","845401","859932","873910","892580","910617","926937","939943","948579","962022","971978","979763","987672","997624","1003071","1009795","",
"Canada","CAN","Population ages 0-14, female","SP.POP.0014.FE.IN","2954208","3024513","3081278","3129220","3169852","3199509","3217336","3218248","3201854","3171366","3139469","3095233","3060834","3031505","2999825","2963324","2925042","2872314","2811749","2758777","2726678","2706728","2697217","2692166","2691013","2691303","2700685","2718845","2737945","2773348","2803445","2836548","2868784","2896005","2912788","2916241","2930928","2930753","2914773","2894501","2876493","2855572","2836198","2821370","2804141","2783422","2760827","2743592","2732015","2726346","2724345","2738616","2751402","2762338","2776113","2789283","2822731","2867837","",
"Central Europe and the Baltics","CEB","Population ages 0-14, female","SP.POP.0014.FE.IN","13063605","13110147","13075209","12989641","12884862","12755621","12576017","12464435","12364902","12236903","12064525","11981757","11880287","11775193","11726721","11763781","11852264","12001296","12185273","12354471","12492238","12642027","12738892","12796075","12838631","12878842","12848832","12832264","12802554","12701147","12523428","12311538","12049071","11777684","11484683","11198483","10869507","10582419","10294517","10014378","9669471","9329994","8990056","8692241","8422981","8190418","8021274","7882966","7779891","7710310","7638459","7608325","7571308","7532209","7508882","7505459","7466731","7463894","",
