Region,Sub Region,Country,Count,Rate,Year
Europe,Southern Europe,Holy See,0,0,2014
Europe,Southern Europe,Italy,1121757,1882.595325,2014
Europe,Southern Europe,Kosovo under UNSCR 1244,15607,856.6802064,2014
Europe,Southern Europe,Malta,8198,1926.357591,2014
Europe,Southern Europe,Montenegro,892,142.1119881,2014
Europe,Southern Europe,Portugal,91041,869.4445548,2014
Europe,Southern Europe,Serbia,26755,301.1352535,2014
Europe,Southern Europe,Slovenia,30103,1453.657806,2014
Europe,Southern Europe,Spain,155253,333.7207715,2014
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,4983,239.8561729,2014
Europe,Western Europe,Austria,148263,1717.354591,2014
Europe,Western Europe,Belgium,208443,1857.919679,2014
Europe,Western Europe,France,1429398,2226.80136,2014
Europe,Western Europe,Germany,1322144,1622.468421,2014
Europe,Western Europe,Liechtenstein,214,576.3999246,2014
Europe,Western Europe,Luxembourg,10259,1844.095802,2014
Europe,Western Europe,Monaco,605,1586.593937,2014
Europe,Western Europe,Netherlands,365371,2163.321088,2014
Europe,Western Europe,Switzerland,171872,2088.453805,2014
Oceania,Australia and New Zealand,Australia,535556,2281.420977,2014
Africa,Eastern Africa,Kenya,1111,2.35200675,2015
Africa,Eastern Africa,Madagascar,222,0.916065007,2015
Africa,Eastern Africa,United Republic of Tanzania,179,0.332220013,2015
Africa,Middle Africa,Cameroon,16290,71.33935188,2015
Africa,Northern Africa,Algeria,49571,124.3268129,2015
Africa,Northern Africa,Morocco,48597,139.6332224,2015
Africa,Western Africa,Cabo Verde,4161,780.8028703,2015
Africa,Western Africa,Senegal,2503,16.71229888,2015
Americas,Caribbean,Barbados,1694,596.0234609,2015
Americas,Caribbean,Dominican Republic,1117,10.60940539,2015
Americas,Caribbean,Grenada,2081,1948.082342,2015
Americas,Caribbean,Jamaica,335,11.66461346,2015
Americas,Caribbean,Puerto Rico,24493,666.7069527,2015
Americas,Caribbean,Trinidad and Tobago,1870,137.4906992,2015
Americas,Central America,Belize,789,219.6009886,2015
Americas,Central America,El Salvador,8539,135.2717586,2015
Americas,Central America,Guatemala,47148,290.0981755,2015
Americas,Central America,Honduras,2911,32.48583362,2015
Americas,Central America,Mexico,265023,210.5179142,2015
Americas,Central America,Panama,18877,475.581149,2015
Americas,Northern America,Bermuda,1409,2272.470687,2015
Americas,Northern America,Canada,502620,1398.119801,2015
Americas,Northern America,United States of America,5723500,1788.989776,2015
Americas,South America,Argentina,271921,626.2897227,2015
Americas,South America,Chile,185542,1044.560784,2015
Americas,South America,Colombia,78595,162.963142,2015
Americas,South America,Ecuador,33572,207.9486791,2015
Americas,South America,Guyana,5171,672.8569681,2015
Americas,South America,Paraguay,38025,572.7416544,2015
Americas,South America,Peru,94480,301.115437,2015
Americas,South America,Uruguay,104443,3043.608257,2015
Asia,Central Asia,Kazakhstan,208907,1176.964185,2015
Asia,Central Asia,Kyrgyzstan,9894,168.684119,2015
Asia,Eastern Asia,Japan,411350,321.4300723,2015
Asia,Eastern Asia,Macao Special Administrative Region of China,2647,440.4751207,2015
Asia,Eastern Asia,Mongolia,9169,308.0073513,2015
Asia,Eastern Asia,Republic of Korea,245853,485.936361,2015
