Region,Sub Region,Country,Count,Rate,Year
Europe,Northern Europe,Norway,17983,363.4695241,2011
Europe,Northern Europe,Sweden,94316,996.3773092,2011
Europe,Northern Europe,United Kingdom (England and Wales),501048,892.0059304,2011
Europe,Northern Europe,United Kingdom (Northern Ireland),11242,619.6267688,2011
Europe,Northern Europe,United Kingdom (Scotland),24222,457.0274911,2011
Europe,Southern Europe,Albania,265,9.054693423,2011
Europe,Southern Europe,Andorra,103,122.9836062,2011
Europe,Southern Europe,Bosnia and Herzegovina,14619,396.3007592,2011
Europe,Southern Europe,Croatia,19237,445.9852862,2011
Europe,Southern Europe,Greece,87142,762.8774193,2011
Europe,Southern Europe,Kosovo under UNSCR 1244,7604,424.5672808,2011
Europe,Southern Europe,Malta,1684,402.517407,2011
Europe,Southern Europe,Montenegro,1234,197.2928984,2011
Europe,Southern Europe,Portugal,52086,490.2059513,2011
Europe,Southern Europe,Serbia,17430,193.8013371,2011
Europe,Southern Europe,Slovenia,13696,666.979638,2011
Europe,Southern Europe,Spain,169383,361.0874282,2011
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,14465,697.9887405,2011
Europe,Western Europe,Austria,65508,774.3386891,2011
Europe,Western Europe,Belgium,97620,886.4002932,2011
Europe,Western Europe,France,345500,545.4380955,2011
Europe,Western Europe,Germany,421243,520.4773076,2011
Europe,Western Europe,Liechtenstein,98,270.2404589,2011
Europe,Western Europe,Luxembourg,3579,688.3473317,2011
Europe,Western Europe,Netherlands,304045,1816.603714,2011
Europe,Western Europe,Switzerland,65172,821.7974809,2011
Oceania,Australia and New Zealand,Australia,209146,930.3730874,2011
Oceania,Australia and New Zealand,New Zealand,59518,1347.059376,2011
Africa,Eastern Africa,Kenya,1826,4.18359915,2012
Africa,Eastern Africa,Madagascar,435,1.946607205,2012
Africa,Eastern Africa,Rwanda,2365,21.92077323,2012
Africa,Eastern Africa,Uganda,7340,20.21660077,2012
Africa,Eastern Africa,United Republic of Tanzania,16370,33.35167166,2012
Africa,Middle Africa,Cameroon,705,3.34402425,2012
Africa,Northern Africa,Algeria,8790,23.39891338,2012
Africa,Western Africa,Nigeria,1964,1.17395809,2012
Americas,Caribbean,Bahamas,310,83.32459769,2012
Americas,Caribbean,Barbados,1954,693.929009,2012
Americas,Caribbean,Dominican Republic,10047,98.93697162,2012
Americas,Caribbean,Grenada,1731,1641.053839,2012
Americas,Caribbean,Jamaica,3237,113.9390748,2012
Americas,Caribbean,Puerto Rico,15287,413.4330167,2012
Americas,Caribbean,St. Vincent and the Grenadines,1515,1385.738329,2012
Americas,Caribbean,Trinidad and Tobago,4321,322.0809966,2012
Americas,Central America,Belize,1106,328.4813529,2012
Americas,Central America,Costa Rica,17010,365.4824691,2012
Americas,Central America,El Salvador,815,13.10026962,2012
Americas,Central America,Guatemala,2101,13.75805314,2012
Americas,Central America,Mexico,191918,158.8352968,2012
Americas,Central America,Panama,3597,95.3368436,2012
Americas,Northern America,Bermuda,846,1339.052533,2012
Americas,Northern America,Canada,175910,504.0299329,2012
Americas,Northern America,United States of America,2109932,673.3780623,2012
Americas,South America,Brazil,380839,189.8868834,2012
Americas,South America,Chile,118657,685.4924388,2012
Americas,South America,Colombia,43816,93.46122322,2012
Americas,South America,Guyana,1758,233.4379245,2012
Asia,Central Asia,Kyrgyzstan,7890,141.0412527,2012
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,4214,59.29866871,2012
Asia,Eastern Asia,Japan,115337,89.80787001,2012
Asia,Eastern Asia,Macao Special Administrative Region of China,153,27.19850106,2012
Asia,Eastern Asia,Mongolia,4013,142.5969343,2012
Asia,Eastern Asia,Republic of Korea,90954,182.0819101,2012
Asia,South-Eastern Asia,Indonesia,46977,18.8751165,2012
Asia,South-Eastern Asia,Myanmar,35,0.068645603,2012
Asia,South-Eastern Asia,Singapore,545,10.33967639,2012
Asia,South-Eastern Asia,Thailand,6006,8.852664729,2012
Asia,Southern Asia,Bhutan,368,48.8733238,2012
Asia,Southern Asia,India,92892,7.354485901,2012
Asia,Southern Asia,Maldives,73,18.90197642,2012
Asia,Southern Asia,Pakistan,17638,9.913916036,2012
Asia,Southern Asia,Sri Lanka,16763,82.07277955,2012
Asia,Western Asia,Armenia,1932,67.03859438,2012
Asia,Western Asia,Azerbaijan,585,6.314141832,2012
Asia,Western Asia,Cyprus,2953,260.162,2012
Asia,Western Asia,Jordan,3,0.037534846,2012
Asia,Western Asia,State of Palestine,37,0.861474845,2012
Asia,Western Asia,Turkey,119533,160.2966517,2012
Europe,Eastern Europe,Bulgaria,16781,229.5502165,2012
Europe,Eastern Europe,Czech Republic,55554,524.7500296,2012
Europe,Eastern Europe,Hungary,46857,474.7568413,2012
Europe,Eastern Europe,Poland,127961,333.9500766,2012
Europe,Eastern Europe,Republic of Moldova,5849,143.5794411,2012
Europe,Eastern Europe,Romania,19526,96.80111624,2012
Europe,Eastern Europe,Russian Federation,276528,192.8091263,2012
Europe,Eastern Europe,Slovakia,11855,218.8452429,2012
Europe,Northern Europe,Denmark,80930,1442.432798,2012
Europe,Northern Europe,Finland,28765,531.4078382,2012
Europe,Northern Europe,Iceland,1374,422.0861006,2012
Europe,Northern Europe,Ireland,28133,601.3744419,2012
Europe,Northern Europe,Latvia,977,47.28088913,2012
Europe,Northern Europe,Norway,17391,346.986746,2012
Europe,Northern Europe,Sweden,88066,923.0359336,2012
Europe,Northern Europe,United Kingdom (England and Wales),459795,812.8211324,2012
Europe,Northern Europe,United Kingdom (Northern Ireland),9521,522.0894105,2012
Europe,Northern Europe,United Kingdom (Scotland),21515,404.9043963,2012
Europe,Southern Europe,Albania,322,11.02724998,2012
Europe,Southern Europe,Andorra,90,109.1822251,2012
Europe,Southern Europe,Bosnia and Herzegovina,13080,358.5329752,2012
Europe,Southern Europe,Croatia,19219,447.3148772,2012
Europe,Southern Europe,Greece,79557,699.2019955,2012
Europe,Southern Europe,Kosovo under UNSCR 1244,6989,387.1593175,2012
Europe,Southern Europe,Malta,1682,399.725278,2012
Europe,Southern Europe,Montenegro,1383,220.7903753,2012
Europe,Southern Europe,Portugal,43843,414.3237728,2012
Europe,Southern Europe,Serbia,17606,196.5616998,2012
Europe,Southern Europe,Slovenia,14106,684.6276676,2012
Europe,Southern Europe,Spain,162672,347.1639189,2012
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,14985,722.5043345,2012
Europe,Western Europe,Austria,69325,813.9079463,2012
Europe,Western Europe,Belgium,102451,924.3518548,2012
Europe,Western Europe,France,364462,572.6944175,2012
Europe,Western Europe,Germany,430211,530.6907828,2012
Europe,Western Europe,Liechtenstein,140,383.0893419,2012
Europe,Western Europe,Luxembourg,3163,594.1166858,2012
Europe,Western Europe,Netherlands,300025,1787.023065,2012
Europe,Western Europe,Switzerland,73714,917.7916921,2012
Oceania,Australia and New Zealand,Australia,215009,942.119107,2012
Oceania,Australia and New Zealand,New Zealand,52937,1184.871198,2012
Africa,Eastern Africa,Kenya,143,0.319005246,2013
Africa,Eastern Africa,Madagascar,639,2.78296214,2013
Africa,Eastern Africa,Uganda,7095,18.89293222,2013
Africa,Eastern Africa,United Republic of Tanzania,15345,30.30417033,2013
Africa,Middle Africa,Cameroon,968,4.469951696,2013
Africa,Northern Africa,Algeria,13706,35.74990632,2013
Africa,Northern Africa,Morocco,8862,26.19973547,2013
Africa,Western Africa,Nigeria,2520,1.466571741,2013
Americas,Caribbean,Barbados,1903,673.6068585,2013
Americas,Caribbean,Dominican Republic,40,0.38905601,2013
Americas,Caribbean,Grenada,1439,1358.713613,2013
Americas,Caribbean,Jamaica,2537,88.96113938,2013
Americas,Caribbean,Puerto Rico,13961,378.4778635,2013
Americas,Caribbean,St. Vincent and the Grenadines,1389,1270.581778,2013
Americas,Caribbean,Trinidad and Tobago,2967,220.0633711,2013
Americas,Central America,Belize,890,258.5848725,2013
Americas,Central America,Costa Rica,17361,368.8805947,2013
Americas,Central America,El Salvador,975,15.59806085,2013
Americas,Central America,Guatemala,93989,602.6398458,2013
Americas,Central America,Honduras,17941,207.2239031,2013
Americas,Central America,Mexico,119240,97.31020285,2013
Americas,Central America,Panama,2356,61.37875013,2013
Americas,Northern America,Bermuda,634,1010.020551,2013
Americas,Northern America,Canada,156068,442.6770919,2013
Americas,Northern America,United States of America,1932100,612.3218462,2013
Americas,South America,Brazil,256418,126.6833324,2013
Americas,South America,Chile,220662,1263.598623,2013
Americas,South America,Colombia,43864,92.65153793,2013
Americas,South America,Guyana,2226,293.6361682,2013
Asia,Central Asia,Kyrgyzstan,2703,47.55614546,2013
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,3573,49.98201739,2013
Asia,Eastern Asia,Japan,107313,83.63382269,2013
Asia,Eastern Asia,Macao Special Administrative Region of China,476,82.66170696,2013
Asia,Eastern Asia,Mongolia,4799,167.2645879,2013
Asia,Eastern Asia,Republic of Korea,89280,177.9576419,2013
Asia,South-Eastern Asia,Indonesia,46064,18.27702511,2013
Asia,South-Eastern Asia,Myanmar,39,0.075804407,2013
Asia,South-Eastern Asia,Singapore,507,9.457478375,2013
Asia,South-Eastern Asia,Thailand,5593,8.207731777,2013
Asia,Southern Asia,Bhutan,467,61.04886393,2013
Asia,Southern Asia,India,104401,8.165500234,2013
Asia,Southern Asia,Maldives,130,32.71287906,2013
Asia,Southern Asia,Pakistan,17053,9.384599895,2013
Asia,Southern Asia,Sri Lanka,16116,78.51033795,2013
Asia,Western Asia,Armenia,2101,72.61079886,2013
Asia,Western Asia,Azerbaijan,937,9.983705357,2013
Asia,Western Asia,Cyprus,2676,233.9373509,2013
Asia,Western Asia,Iraq (Central Iraq),225,0.774449409,2013
Asia,Western Asia,State of Palestine,21,0.475689546,2013
Asia,Western Asia,United Arab Emirates,5016,55.6945761,2013
Europe,Eastern Europe,Bulgaria,17163,236.2051603,2013
Europe,Eastern Europe,Czech Republic,62384,588.8348849,2013
Europe,Eastern Europe,Hungary,37688,382.9420881,2013
Europe,Eastern Europe,Poland,118160,308.435639,2013
Europe,Eastern Europe,Republic of Moldova,2267,55.67338022,2013
Europe,Eastern Europe,Romania,19573,97.53240961,2013
Europe,Eastern Europe,Russian Federation,250171,174.2171489,2013
Europe,Eastern Europe,Slovakia,11167,205.8383854,2013
Europe,Northern Europe,Denmark,78955,1400.453402,2013
Europe,Northern Europe,Finland,22911,421.4202364,2013
Europe,Northern Europe,Iceland,1092,333.9153408,2013
Europe,Northern Europe,Ireland,26218,559.9783168,2013
Europe,Northern Europe,Latvia,955,46.79574124,2013
Europe,Northern Europe,Lithuania,3265,108.9301359,2013
Europe,Northern Europe,Norway,15740,310.0194383,2013
Europe,Northern Europe,Sweden,85453,888.7239194,2013
Europe,Northern Europe,United Kingdom (England and Wales),443212,778.2717879,2013
Europe,Northern Europe,United Kingdom (Northern Ireland),9125,498.7088224,2013
Europe,Northern Europe,United Kingdom (Scotland),22272,418.0415564,2013
Europe,Southern Europe,Albania,365,12.50437653,2013
Europe,Southern Europe,Andorra,90,111.4026836,2013
Europe,Southern Europe,Bosnia and Herzegovina,11907,330.2913538,2013
Europe,Southern Europe,Croatia,18483,432.0672793,2013
Europe,Southern Europe,Greece,67824.90865,599.0911702,2013
Europe,Southern Europe,Kosovo under UNSCR 1244,7655,419.6590099,2013
Europe,Southern Europe,Malta,1438,339.7551306,2013
Europe,Southern Europe,Montenegro,1181,188.3290224,2013
Europe,Southern Europe,Portugal,38390,364.6579482,2013
Europe,Southern Europe,Serbia,31694,355.3053374,2013
Europe,Southern Europe,Slovenia,15370,743.9068127,2013
Europe,Southern Europe,Spain,167320,358.3057125,2013
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,15109,727.8853459,2013
Europe,Western Europe,Austria,88703,1034.101823,2013
Europe,Western Europe,Belgium,99934,896.1475359,2013
Europe,Western Europe,France,385511,603.1156142,2013
Europe,Western Europe,Germany,437520,538.3858385,2013
Europe,Western Europe,Liechtenstein,125,339.3603736,2013
Europe,Western Europe,Luxembourg,3399,623.9891614,2013
Europe,Western Europe,Netherlands,120471,715.3987729,2013
Europe,Western Europe,Switzerland,68730,845.1094929,2013
Oceania,Australia and New Zealand,Australia,194529,840.2715958,2013
Oceania,Australia and New Zealand,New Zealand,52247,1156.53985,2013
Africa,Eastern Africa,Kenya,1390,3.020146988,2014
Africa,Eastern Africa,Madagascar,208,0.881736985,2014
Africa,Eastern Africa,Uganda,6649,17.12188635,2014
Africa,Eastern Africa,United Republic of Tanzania,14320,27.41463753,2014
Africa,Middle Africa,Cameroon,1351,6.074666509,2014
Africa,Northern Africa,Algeria,18138,46.37295746,2014
Africa,Southern Africa,Botswana,3006,138.6165003,2014
Americas,Caribbean,Barbados,1565,552.2522364,2014
Americas,Caribbean,Dominican Republic,7112,68.34621007,2014
Americas,Caribbean,Grenada,1485,1396.20158,2014
Americas,Caribbean,Jamaica,2523,88.15245658,2014
Americas,Caribbean,Puerto Rico,12035,326.9745145,2014
Americas,Caribbean,Trinidad and Tobago,2592,191.3631152,2014
Americas,Central America,Belize,782,222.3523859,2014
Americas,Central America,El Salvador,574,9.138397205,2014
Americas,Central America,Guatemala,54556,342.6118495,2014
Americas,Central America,Honduras,15633,177.4618763,2014
Americas,Central America,Mexico,100080,80.56569872,2014
Americas,Central America,Panama,567,14.52361766,2014
Americas,Northern America,Bermuda,524,839.9858934,2014
Americas,Northern America,Canada,151807,426.3675319,2014
Americas,Northern America,United States of America,1713200,539.2189928,2014
Americas,South America,Chile,229663,1303.881196,2014
Americas,South America,Colombia,42436,88.7932688,2014
Americas,South America,Ecuador,89075,560.1104991,2014
Asia,Central Asia,Kyrgyzstan,1354,23.44764957,2014
Asia,Eastern Asia,Japan,93566,73.00554194,2014
Asia,Eastern Asia,Macao Special Administrative Region of China,317,53.84005258,2014
Asia,Eastern Asia,Mongolia,3954,135.230528,2014
Asia,Eastern Asia,Republic of Korea,82320,163.380143,2014
Asia,South-Eastern Asia,Indonesia,42699,16.73610051,2014
Asia,South-Eastern Asia,Myanmar,33,0.063554203,2014
Asia,South-Eastern Asia,Singapore,311,5.708158555,2014
Asia,South-Eastern Asia,Thailand,5478,8.006808623,2014
Asia,Southern Asia,Bhutan,311,40.05419552,2014
Asia,Southern Asia,Pakistan,17150,9.242978154,2014
Asia,Southern Asia,Sri Lanka,15050,72.97477778,2014
Asia,Western Asia,Armenia,2337,80.4137333,2014
